"","id","size","size","surv","covariate","covariateNext","fec","stage","stageNext"
"1","1","1.81237805051075",NA,"0","0.224770689595133","0.224770689595133","0","continuous","continuous"
"2","2","1.79271720913758",NA,"0","0.235752536016366","0.235752536016366","0","continuous","continuous"
"3","3","1.83995884764151",NA,"0","0.225936375745024","0.225936375745024","0","continuous","continuous"
"4","4","1.81489649502424","2.46051354397631","1","0.239784243789362","0.239784243789362","1","continuous","continuous"
"5","5","1.78478906629512",NA,"0","0.240189112274936","0.240189112274936","0","continuous","continuous"
"6","6","1.82278041101559",NA,"0","0.256848331915535","0.256848331915535","0","continuous","continuous"
"7","7","1.80953113438887","2.40390258785913","1","0.224042934919548","0.224042934919548","1","continuous","continuous"
"8","8","1.82638843613806",NA,"0","0.247156536306455","0.247156536306455","0","continuous","continuous"
"9","9","1.82817728007594","2.39856191232874","1","0.213325284577104","0.213325284577104","2","continuous","continuous"
"10","10","1.81885290089065",NA,"0","0.264494970298843","0.264494970298843","0","continuous","continuous"
"11","11","1.81993200909014","2.517285378193","1","0.25529047486945","0.25529047486945","2","continuous","continuous"
"12","12","1.8277728519494",NA,"0","0.240064898078134","0.240064898078134","0","continuous","continuous"
"13","13","1.7975713122616","2.4592279722583","1","0.247879016036059","0.247879016036059","3","continuous","continuous"
"14","14","1.79831823609283",NA,"0","0.254450218921598","0.254450218921598","0","continuous","continuous"
"15","15","1.79129986999494","2.52002964337598","1","0.270337335165534","0.270337335165534","1","continuous","continuous"
"16","16","1.81464574946592","2.53212213083103","1","0.262509996957436","0.262509996957436","0","continuous","continuous"
"17","17","1.81393732134884","2.6436516989456","1","0.29682616795214","0.29682616795214","0","continuous","continuous"
"18","18","1.81808617835894","2.42530498666436","1","0.226885807922571","0.226885807922571","2","continuous","continuous"
"19","19","1.83324282604575","2.4714774408592","1","0.234417695600293","0.234417695600293","3","continuous","continuous"
"20","20","1.80520293365343","2.40958261117281","1","0.228011889703388","0.228011889703388","1","continuous","continuous"
"21","21","1.83097213803542",NA,"0","0.23443628482576","0.23443628482576","0","continuous","continuous"
"22","22","1.78793623077801",NA,"0","0.25506996286225","0.25506996286225","0","continuous","continuous"
"23","23","1.84241326992845",NA,"0","0.287684860456092","0.287684860456092","0","continuous","continuous"
"24","24","1.81131569872441","2.42096347307991","1","0.228753731872895","0.228753731872895","3","continuous","continuous"
"25","25","1.80681417009435","2.50542760243766","1","0.258013178648786","0.258013178648786","0","continuous","continuous"
"26","26","1.8001264063068","2.39535471254759","1","0.225813644132368","0.225813644132368","0","continuous","continuous"
"27","27","1.82186084200835",NA,"0","0.218840602352092","0.218840602352092","0","continuous","continuous"
"28","28","1.79193372166673",NA,"0","0.22893710234747","0.22893710234747","0","continuous","continuous"
"29","29","1.82855027280212",NA,"0","0.281069396293232","0.281069396293232","0","continuous","continuous"
"30","30","1.82982385572833",NA,"0","0.258477994288134","0.258477994288134","0","continuous","continuous"
"31","31","1.81671812771746","2.39960585348616","1","0.219157236301286","0.219157236301286","1","continuous","continuous"
"32","32","1.81241694294005",NA,"0","0.284307818582607","0.284307818582607","0","continuous","continuous"
"33","33","1.8400175972976","2.58731128766794","1","0.267071149265803","0.267071149265803","0","continuous","continuous"
"34","34","1.81499550540234",NA,"0","0.236131263354595","0.236131263354595","0","continuous","continuous"
"35","35","1.81298864161732",NA,"0","0.215913394773319","0.215913394773319","0","continuous","continuous"
"36","36","1.84426603730582","2.55863999454361","1","0.256296056197099","0.256296056197099","2","continuous","continuous"
"37","37","1.81278952771982",NA,"0","0.22311748928467","0.22311748928467","0","continuous","continuous"
"38","38","1.84392208656399",NA,"0","0.267285315686636","0.267285315686636","0","continuous","continuous"
"39","39","1.83098896450708","2.56294030434734","1","0.264028724824913","0.264028724824913","3","continuous","continuous"
"40","40","1.77948932349555","2.45223894199761","1","0.254651944051176","0.254651944051176","3","continuous","continuous"
"41","41","1.80553943139966",NA,"0","0.255255509751444","0.255255509751444","0","continuous","continuous"
"42","42","1.80969843171357",NA,"0","0.242220996041721","0.242220996041721","0","continuous","continuous"
"43","43","1.84529840976861",NA,"0","0.224925196987448","0.224925196987448","0","continuous","continuous"
"44","44","1.82445091824108","2.50599385069939","1","0.249552949114881","0.249552949114881","0","continuous","continuous"
"45","45","1.82269009533809",NA,"0","0.250719648773597","0.250719648773597","0","continuous","continuous"
"46","46","1.78548439884042","2.36109909851923","1","0.221606366103255","0.221606366103255","3","continuous","continuous"
"47","47","1.84195967107556",NA,"0","0.241986530371231","0.241986530371231","0","continuous","continuous"
"48","48","1.85679845383485",NA,"0","0.271227517763208","0.271227517763208","0","continuous","continuous"
"49","49","1.78347200869723","2.43067698395758","1","0.245643540703254","0.245643540703254","3","continuous","continuous"
"50","50","1.82327917908185",NA,"0","0.260893364451019","0.260893364451019","0","continuous","continuous"
"51","51","1.82847149387246",NA,"0","0.253389343083743","0.253389343083743","0","continuous","continuous"
"52","52","1.86174056625654",NA,"0","0.241741886070071","0.241741886070071","0","continuous","continuous"
"53","53","1.82575509667969",NA,"0","0.27627736331779","0.27627736331779","0","continuous","continuous"
"54","54","1.82443456451032","2.43605842058701","1","0.22730742925544","0.22730742925544","3","continuous","continuous"
"55","55","1.79125410502255",NA,"0","0.250848806234409","0.250848806234409","0","continuous","continuous"
"56","56","1.84259378280593","2.46532693429976","1","0.228005451484731","0.228005451484731","1","continuous","continuous"
"57","57","1.83047132504296",NA,"0","0.260054714635722","0.260054714635722","0","continuous","continuous"
"58","58","1.81819924905299",NA,"0","0.234363707999224","0.234363707999224","0","continuous","continuous"
"59","59","1.8241399577412",NA,"0","0.252904351837178","0.252904351837178","0","continuous","continuous"
"60","60","1.84464192770666","2.56967260211555","1","0.259483619471281","0.259483619471281","1","continuous","continuous"
"61","61","1.86836571874701",NA,"0","0.212543832075852","0.212543832075852","0","continuous","continuous"
"62","62","1.82327579560385",NA,"0","0.215058160120605","0.215058160120605","0","continuous","continuous"
